[I 2024-03-23 10:04:40,835] A new study created in memory with name: no-name-592f1f44-dbdf-4fd1-af17-1dc5a5448f2b
[I 2024-03-23 10:31:42,816] Trial 81 finished with value: 3.739158239364624 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:32:30,185] Trial 82 finished with value: 3.7984201645851137 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:32:44,188] Trial 83 finished with value: 3.8541564643383026 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:33:10,632] Trial 84 finished with value: 3.8484984159469606 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:33:27,908] Trial 85 finished with value: 3.8703948974609377 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:33:32,690] Trial 86 finished with value: 3.9705525934696198 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:33:48,385] Trial 87 finished with value: 3.7392136979103094 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:34:36,639] Trial 88 finished with value: 3.7494684553146365 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:35:02,398] Trial 89 finished with value: 3.8237134218215942 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:35:12,080] Trial 90 finished with value: 3.662386155128479 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:35:43,132] Trial 91 finished with value: 3.710648589134216 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:35:57,573] Trial 92 finished with value: 3.997197186946869 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:36:08,104] Trial 93 finished with value: 3.7380258202552796 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:36:57,733] Trial 94 finished with value: 3.7925436997413633 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:37:29,057] Trial 95 finished with value: 3.6922557699680327 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:37:46,332] Trial 96 finished with value: 3.862106521924337 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:37:55,620] Trial 97 finished with value: 3.9041748523712156 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:38:26,908] Trial 98 finished with value: 3.698477928638458 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:38:42,549] Trial 99 finished with value: 3.9310157370567325 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:38:59,755] Trial 100 finished with value: 3.8453677733739218 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:39:25,691] Trial 101 finished with value: 3.9158933242162073 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:39:42,572] Trial 102 finished with value: 3.83116428454717 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:39:51,243] Trial 103 finished with value: 3.818393143018087 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:40:08,311] Trial 104 finished with value: 3.926012762387594 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:40:12,946] Trial 105 finished with value: 3.9674707651138306 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:40:17,660] Trial 106 finished with value: 3.8358737409114836 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:40:27,031] Trial 107 finished with value: 3.708527570962906 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:40:58,914] Trial 108 finished with value: 3.664405715465546 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:41:08,387] Trial 109 finished with value: 3.9199899435043335 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:41:40,072] Trial 110 finished with value: 3.7372460079193113 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:41:57,134] Trial 111 finished with value: 3.6886471470197044 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:42:11,357] Trial 112 finished with value: 4.057249188423157 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:42:36,870] Trial 113 finished with value: 3.839639973640442 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:42:52,661] Trial 114 finished with value: 3.831112578511238 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:43:18,374] Trial 115 finished with value: 3.8594514608383172 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:43:32,457] Trial 116 finished with value: 3.881665235757828 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:43:48,603] Trial 117 finished with value: 3.733768663406372 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:44:35,580] Trial 118 finished with value: 3.748502550125122 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
