[I 2024-03-21 23:02:16,528] A new study created in memory with name: no-name-ec2b763e-7aef-4c6c-bf8c-f5bebffa5c7d
[I 2024-03-22 00:55:29,958] Trial 102 finished with value: 0.406814637393096 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:56:27,954] Trial 103 finished with value: 0.37856803327391564 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:57:44,474] Trial 104 finished with value: 0.4049867091972355 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:59:00,885] Trial 105 finished with value: 0.35863902179691654 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:59:46,973] Trial 106 finished with value: 0.39059033049582176 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 01:00:36,834] Trial 107 finished with value: 0.35417269864638284 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 01:01:22,807] Trial 108 finished with value: 0.3861024149569041 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 01:02:52,405] Trial 109 finished with value: 0.3729247945037419 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 01:03:43,821] Trial 110 finished with value: 0.3702399320665575 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 01:04:35,289] Trial 111 finished with value: 0.40044079071942845 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
