[I 2024-03-22 23:02:18,945] Trial 86 finished with value: 0.5862536431576679 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:02:52,417] Trial 87 finished with value: 0.5879079142391836 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:03:13,654] Trial 88 finished with value: 0.6089566096279475 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:03:32,389] Trial 89 finished with value: 0.6172660225911001 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:04:05,201] Trial 90 finished with value: 0.6092834100883636 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:05:06,602] Trial 91 finished with value: 0.6272917863010743 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:06:12,996] Trial 92 finished with value: 0.5856269568246104 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:06:45,083] Trial 93 finished with value: 0.6155369913883846 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:06:56,798] Trial 94 finished with value: 0.5466173008278271 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:07:27,235] Trial 95 finished with value: 0.629974717405058 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:08:11,498] Trial 96 finished with value: 0.576555085781092 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:08:24,704] Trial 97 finished with value: 0.5933856236642615 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:08:41,869] Trial 98 finished with value: 0.6026671096542369 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:08:53,063] Trial 99 finished with value: 0.587972681275598 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:08:58,524] Trial 100 finished with value: 0.594075103105574 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:09:47,704] Trial 101 finished with value: 0.596228113132138 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:10:11,867] Trial 102 finished with value: 0.6149478114086229 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:10:19,126] Trial 103 finished with value: 0.6281128365958089 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:10:26,681] Trial 104 finished with value: 0.6148861187153513 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:10:49,714] Trial 105 finished with value: 0.5817616439288266 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:11:15,730] Trial 106 finished with value: 0.5851549070124922 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:11:27,634] Trial 107 finished with value: 0.603371317726866 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:12:05,028] Trial 108 finished with value: 0.6057841573631048 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:12:36,530] Trial 109 finished with value: 0.5901828000182245 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:12:56,932] Trial 110 finished with value: 0.5976661457059045 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:13:03,878] Trial 111 finished with value: 0.6072285131630089 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:13:27,460] Trial 112 finished with value: 0.6155745530879961 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:13:39,214] Trial 113 finished with value: 0.6374505164598044 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:13:59,643] Trial 114 finished with value: 0.6066788320039095 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:14:12,208] Trial 115 finished with value: 0.6265736740040145 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:14:34,827] Trial 116 finished with value: 0.5768084069534289 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:14:49,745] Trial 117 finished with value: 0.5981309440654398 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:15:48,436] Trial 118 finished with value: 0.634761275875827 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:15:55,032] Trial 119 finished with value: 0.6248361686654011 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 23:16:36,063] Trial 120 finished with value: 0.6090887904664994 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
